ProductCode;Name;Category;Brand;Type;FixedAssetType;CostingMethod;Length;Width;Height;Weight;WeightUnits;DimensionUnits;Barcode;MinimumBeforeReorder;ReorderQuantity;DefaultLocation;LastSuppliedBy;SupplierProductCode;SupplierProductName;SupplierFixedPrice;PriceTier1;PriceTier2;PriceTier3;PriceTier4;PriceTier5;PriceTier6;PriceTier7;PriceTier8;PriceTier9;PriceTier10;AssemblyBOM;AutoAssembly;AutoDisassemble;DropShip;AverageCost;DefaultUnitOfMeasure;InventoryAccount;RevenueAccount;ExpenseAccount;COGSAccount;ProductAttributeSet;AdditionalAttribute1;AdditionalAttribute2;AdditionalAttribute3;AdditionalAttribute4;AdditionalAttribute5;AdditionalAttribute6;AdditionalAttribute7;AdditionalAttribute8;AdditionalAttribute9;AdditionalAttribute10;DiscountName;ProductFamilySKU;ProductFamilyName;ProductFamilyOption1Name;ProductFamilyOption1Value;ProductFamilyOption2Name;ProductFamilyOption2Value;ProductFamilyOption3Name;ProductFamilyOption3Value;CommaDelimitedTags;StockLocator;PurchaseTaxRule;SaleTaxRule;Status;Description;ShortDescription;Sellable;PickZones;AlwaysShowQuantity;WarrantySetupName;InternalNote;ProductionBOM;MakeToOrderBom;QuantityToProduce
P70449;Aglow, Lantern Set;Ornaments and Objects;Primavera;Stock;;FIFO;240;240;650;;kg;cm;;0;0;Primavera Location: Warehouse;;TW-11050(Z);Lantern(L);0;;;;;0;0;0;0;0;0;No;No;No;No Drop Ship;;Item;Inventory Control;Sales - Ornaments and Objects;;COS - Ornaments and Objects;Product Set Accessories;Accessories;;;;;;;;;;;;;;;;;;;;;Products and Goods Imported;Standard Rate Sales;ACTIVE;;;Yes;;0;;;No;No;1
P70450;Privet, Candle Holders ;Ornaments and Objects;Primavera;Stock;;FIFO;120;120;640;;kg;cm;;0;0;Primavera Location: Warehouse;;TW-11513(X);Candle holder (L);0;;;;;0;0;0;0;0;0;No;No;No;No Drop Ship;;Item;Inventory Control;Sales - Ornaments and Objects;;COS - Ornaments and Objects;Product Set Accessories;Accessories;;;;;;;;;;;;;;;;;;;;;Products and Goods Imported;Standard Rate Sales;ACTIVE;;;Yes;;0;;;No;No;1
P70451S2;Enkindle, Lantern Set;Ornaments and Objects;Primavera;Stock;;FIFO;200;210;660;;kg;cm;;0;0;Primavera Location: Warehouse;;TW-11528(X);Lantern(L);0;;;;;0;0;0;0;0;0;No;No;No;No Drop Ship;;Item;Inventory Control;Sales - Ornaments and Objects;;COS - Ornaments and Objects;Product Set Accessories;Accessories;;;;;;;;;;;;;;;;;;;;;Products and Goods Imported;Standard Rate Sales;ACTIVE;;;Yes;;0;;;No;No;1
P70101;Hers, Vanity Tray;Ornaments and Objects;Primavera;Stock;;FIFO;300;225;50;;kg;cm;;0;0;Primavera Location: Warehouse;;TP-09521;Tray;0;;;;;0;0;0;0;0;0;No;No;No;No Drop Ship;;Item;Inventory Control;Sales - Ornaments and Objects;;COS - Ornaments and Objects;Product Set Accessories;Accessories;;;;;;;;;;;;;;;;;;;;;Products and Goods Imported;Standard Rate Sales;ACTIVE;;;Yes;;0;;;No;No;1
P70452;TuttiFrutti, Fruit Plate(L);Ornaments and Objects;Primavera;Stock;;FIFO;395;330;260;;kg;cm;;0;0;Primavera Location: Warehouse;;GP-04067;Fruit Plate(L);0;;;;;0;0;0;0;0;0;No;No;No;No Drop Ship;;Item;Inventory Control;Sales - Ornaments and Objects;;COS - Ornaments and Objects;Product Set Accessories;Accessories;;;;;;;;;;;;;;;;;;;;;Products and Goods Imported;Standard Rate Sales;ACTIVE;;;Yes;;0;;;No;No;1
P70453;CrownFields,Fruit Plate;Ornaments and Objects;Primavera;Stock;;FIFO;500;200;290;;kg;cm;;0;0;Primavera Location: Warehouse;;GP-04065;Fruit Plate;0;;;;;0;0;0;0;0;0;No;No;No;No Drop Ship;;Item;Inventory Control;Sales - Ornaments and Objects;;COS - Ornaments and Objects;Product Set Accessories;Accessories;;;;;;;;;;;;;;;;;;;;;Products and Goods Imported;Standard Rate Sales;ACTIVE;;;Yes;;0;;;No;No;1
P70190S2;Zhenya, Table Decoration Set;Ornaments and Objects;Primavera;Stock;;FIFO;170;170;360;;kg;cm;;0;0;Primavera Location: Warehouse;;YS-02438;Table Decoration;0;;;;;0;0;0;0;0;0;No;No;No;No Drop Ship;;Item;Inventory Control;Sales - Ornaments and Objects;;COS - Ornaments and Objects;Product Set Accessories;Accessories;;;;;;;;;;;;;;;;;;;;;Products and Goods Imported;Standard Rate Sales;ACTIVE;;;Yes;;0;;;No;No;1
P70163;Matlock,Decorative Scale(L);Ornaments and Objects;Primavera;Stock;;FIFO;510;160;500;;kg;cm;;0;0;Primavera Location: Warehouse;;YS-02225;Decorative Scale(L);0;;;;;0;0;0;0;0;0;No;No;No;No Drop Ship;;Item;Inventory Control;Sales - Ornaments and Objects;;COS - Ornaments and Objects;Product Set Accessories;Accessories;;;;;;;;;;;;;;;;;;;;;Products and Goods Imported;Standard Rate Sales;ACTIVE;;;Yes;;0;;;No;No;1
P70164;Matlock,Decorative Scale(L);Ornaments and Objects;Primavera;Stock;;FIFO;360;100;330;;kg;cm;;0;0;Primavera Location: Warehouse;;YS-02226;Decorative Scale(S);0;;;;;0;0;0;0;0;0;No;No;No;No Drop Ship;;Item;Inventory Control;Sales - Ornaments and Objects;;COS - Ornaments and Objects;Product Set Accessories;Accessories;;;;;;;;;;;;;;;;;;;;;Products and Goods Imported;Standard Rate Sales;ACTIVE;;;Yes;;0;;;No;No;1
P70454;Jager, Decoration;Ornaments and Objects;Primavera;Stock;;FIFO;240;175;595;;kg;cm;;0;0;Primavera Location: Warehouse;;YS-02199(X);Decoration;0;;;;;0;0;0;0;0;0;No;No;No;No Drop Ship;;Item;Inventory Control;Sales - Ornaments and Objects;;COS - Ornaments and Objects;Product Set Accessories;Accessories;;;;;;;;;;;;;;;;;;;;;Products and Goods Imported;Standard Rate Sales;ACTIVE;;;Yes;;0;;;No;No;1
